back	Rücken	rygg	rug	dos	espalda	costas	schiena	спина	plecy	πλάτη	pláti	hát	selkä	背	등	背	lưng	背脊	bui3 zek3	尻脊	kha1-tsiah8	ظهر	dhahr	पीठ	peeth	droim	drim	cefn	нуруу	sırt	ئارقا	arqa	หลัง	lǎng 	mgongo	punggung	shivííʼ	shi-vee
toe	Zehe	tå	teen	orteil	dedo del pie	dedo do pé	dito del piede	палец ноги	palec u nogi	δάχτυλο ποδιού	dáchtylo podioú	lábujj	varvas	脚趾	발가락	足の指	ngón chân	脚趾	goek3 zi2	脚指	kha1-tsai2	إصبع القدم	isba' al-qadam	पैर की उंगली	pair kee ungalee	ladhar	ly-ur	bys troed	хөлийн хуруу	ayak parmağı	پۇت بارمىقى	put barmiqi	นิ้วเท้า	níu tháo 	kidole cha mguu	jari kaki	bikeeʼ bikéshgaan	bee-kay bee-kaysh-gahn
finger	Finger	finger	vinger	doigt	dedo	dedo	dito	палец	palec	δάχτυλο	dáchtylo	ujj	sormi	手指	손가락	指	ngón tay	手指	sau2 zi2	手指	tshiú2-tsai2	إصبع	isba'	उंगली	ungalee	méar	may-ur	bys	хуруу	parmak	بارماق	barmaq	นิ้วมือ	níu mīu 	kidole	jari	shilaʼ	shi-lah
foot	Fuß	fot	voet	pied	pie	pé	piede	нога/стопа	stopa	πόδι	pódi	láb	jalka	脚	발	足	chân	脚	goek3	脚	kha1	قدم	qadam	पैर	pair	cos	koss	troed	хөл	ayak	پۇت	put	เท้า	tháo 	mguu (wa chini)	kaki (telapak)	shikeeʼ	shi-kay
hand	Hand	hand	hand	main	mano	mão	mano	рука	ręka	χέρι	chéri	kéz	käsi	手	손	手	tay	手	sau2	手	tshiu2	يد	yad	हाथ	haath	lámh	lawv	llaw	гар	el	قول	qol	มือ	mīu 	mkono	tangan	shilaʼ	shi-lah
leg	Bein	ben	been	jambe	pierna	perna	gamba	нога	noga	πόδι	pódi	láb	sääri	腿	다리	脚	chân	髀	bei2	跤	kha1	ساق	saq	टाँग	taang	cos	koss	coes	хөл	bacak	پۇت	put	ขา	khǎa 	mguu	kaki	shijáád	shi-jahd
arm	Arm	arm	arm	bras	brazo	braço	braccio	рука	ramię	μπράτσο	brátso	kar	käsivarsi	手臂	팔	腕	cánh tay	手臂	sau2 bei3	手骨	tshiú2-kut4	ذراع	dhira'	बाह	baah	lámh	lawv	braich	гар	kol	بىلەك	bilek	แขน	khǎen 	mkono	lengan	shigaan	shi-gahn
shoulder	Schulter	axel	schouder	épaule	hombro	ombro	spalla	плечо	ramię	ώμος	ómos	váll	olkapää	肩膀	어깨	肩	vai	肩头	gin1 tau4	肩头	kian1-thau5	كتف	katif	कंधा	kandha	gualainn	goo-lin	ysgwydd	мөр	omuz	مۈرە	müre	ไหล่	lǎi 	bega	bahu	shiwos	shi-wos
heart	Herz	hjärta	hart	cœur	corazón	coração	cuore	сердце	serce	καρδιά	kardiá	szív	sydän	心脏	심장	心臓	tim	心	sam1	心	sim1	قلب	qalb	दिल	dil	croí	kree	calon	зүрх	kalp	يۈرەك	yürek	หัวใจ	hǔa chāi 	moyo	hati / jantung	shijéí	shi-jay
blood	Blut	blod	bloed	sang	sangre	sangue	sangue	кровь	krew	αίμα	aíma	vér	veri	血液	피	血	máu	血	hyut3	血	hueh8	دم	dam	खून	khoon	fuil	fwil	gwaed	цус	kan	قان	qan	เลือด	lûeat 	damu	darah	dił	dilth
brain	Gehirn	hjärna	hersenen	cerveau	cerebro	cérebro	cervello	мозг	mózg	εγκέφαλος	egkéfalos	agy	aivot	大脑	뇌	脳	não	脑	nou5	脑	nau2	دماغ	dimagh	दिमाग	dimaag	inchinn	in-hin	ymennydd	тархи	beyin	مېڭە	ménge	สมอง	sà-mǎong 	ubongo	otak	sitsíítsʼiin bąąh dį́į́ʼ	si-tsee-tseen bah deen
knee	Knie	knä	knie	genou	rodilla	joelho	ginocchio	колено	kolano	γόνατο	gónato	térd	polvi	膝盖	무릎	膝	đầu gối	膝头	goek3 sat1	跤头趺	kha1-thau5-hu1	ركبة	rukba	घुटना	ghutna	glúin	gloon	pen-glin	өвдөг	diz	تىز	tiz	เข่า	khào 	goti	lutut	shigod	shi-god
sweat	Schweiß	svett	zweet	sueur	sudor	suor	sudore	пот	pot	ιδρώτας	idrótas	izzadság	hiki	汗	땀	汗	mồ hôi	汗	hon6	汗	kuann7	عرق	'araq	पसीना	paseena	allas	al-us	chwys	хөлс	ter	تەر	ter	เหงื่อ	ngùea 	jasho	keringat	sinto	sin-toh
bone	Knochen	ben / skelett	bot	os	hueso	osso	osso	кость	kość	κόκαλο	kókalo	csont	luu	骨头	뼈	骨	xương	骨	gwat1	骨	kut4	عظم	'adhim	हड्डी	haddee	cnámh	knawv	asgwrn	яс	kemik	سۆڭەك	söngek	กระดูก	krà-dùuk 	mfupa	tulang	tsʼin	tsin
voice	Stimme	röst / ljud	geluid	voix	voz	voz	voce	голос	głos	φωνή	foní	hang	ääni	声音	목소리	声	giọng nói	声	seng1	声	siann1	صوت	sawt	आवाज़	aawaaz	guth	guh	llais	дуу хоолой	ses	ئاۋاز	awaz	เสียง	sǐang 	sauti	suara	shinéeʼ	shi-nay
skin	Haut	hud	huid	peau	piel	pele	pelle	кожа	skóra	δέρμα	dérma	bőr	iho	皮肤	피부	肌	da	皮肤	pei4 fu1	皮肤	phue5-hu5	جلد	jild	त्वचा	tvacha	craiceann	krak-un	croen	арьс	cilt / deri	تېرە	tére	ผิวหนัง	phǐu nǎng 	ngozi	kulit	hagi	ha-gee
body	Körper	kropp	lichaam	corps	cuerpo	corpo	corpo	тело	ciało	σώμα	sóma	test	vartalo	身体	몸	体	cơ thể	身体	san1 tai2	身体	sin1-the2	جسم	jism	शरीर	shareer	corp	kurp	corff	бие	vücut	بەدەن	beden	ร่างกาย	râang kāai 	mwili	tubuh	sitsʼíís	si-tsees
work	arbeiten	arbeta	werken	travailler	trabajar	trabalhar	lavorare	работать	pracować	δουλεύω	doulevo	dolgozik	työskennellä	工作	일하다	働く	làm việc	做嘢	zou6 je5	做工	tso3-kang1	عمل	'amal	काम	kaam	obair	ub-ir	gweithio	ажиллах	çalışmak	ئىشلىمەك	ishlimek	ทำงาน	thām ngāan 	fanya kazi	bekerja	naalnish	nahl-nish
play	spielen	leka / spela	spelen	jouer	jugar	brincar	giocare	играть	bawić się	παίζω	paizo	játszik	leikkiä	玩	놀다	遊ぶ	chơi	玩	waan2	耍	sng2	لعب	la'ib	खेलना	khelna	súgradh	soo-gruh	chwarae	тоглох	oynamak	ئوينىماق	oynimaq	เล่น	lên 	cheza	bermain	naané	nah-nay
walk	gehen	gå	lopen	marcher	caminar	caminhar	camminare	ходить	iść	περπατώ	perpato	sétál	kävellä	走路	걷다	歩く	đi bộ	行路	haang4 lou6	行路	kiann5-loo7	مشى	masha	चलना	chalna	siúil	shoo-il	cerdded	алхах	yürümek	ماڭماق	mangmaq	เดิน	dōen 	tembea	berjalan	yigááł	yi-gahl
run	laufen	springa	rennen	courir	correr	correr	correre	бежать	biegać	τρέχω	trecho	fut	juosta	跑	달리다	走る	chạy	跑	paau2	走	tsau2	ركض	rakada	दौड़ना	daudna	rith	rih	rhedeg	гүйх	koşmak	يۈگۈرمەك	yügürmek	วิ่ง	wîng 	kimbia	berlari	yilwoł	yil-wolth
drive	fahren	köra	rijden	conduire	conducir	dirigir	guidare	водить	prowadzić	οδηγώ	odigo	vezet	ajaa	驾驶	운전하다	運転する	lái xe	揸车	zaa1 ce1	驶车	sai2-tshia1	قاد	qada	चलाना	chalaana	tiomáin	tyum-awn	gyrru	жолоодох	sürmek	ھەيدىمەك	heydimek	ขับรถ	khàp rót 	endesha	mengemudi	jidlóós	ji-dlohs
fly	fliegen	flyga	vliegen	voler	volar	voar	volare	летать	latać	πετώ	peto	repül	lentää	飞	날다	飞ぶ	bay	飞	fei1	飞	pue1	طار	tara	उड़ना	udna	eitil	et-il	hedfan	нисэх	uçmak	ئۇچمەك	uchmek	บิน	bīn 	ruka	terbang	naatʼaʼ	nah-tah
swim	schwimmen	simma	zwemmen	nager	nadar	nadar	nuotare	плавать	pływać	κολυμπώ	kolympo	úszik	uida	游泳	수영하다	泳ぐ	bơi	游水	jau4 seoi2	泅水	siu5-tsui2	سبح	sabaha	तैरना	tairna	snámh	snawv	nofio	сэлэх	yüzmek	ئۈزمەك	üzmek	ว่ายน้ำ	wâai náam 	ogelea	berenang	naʼałkǫ́ǫ́ʼ	nah-ahl-kon
go	gehen	åka / gå	gaan	aller	ir	ir	andare	идти	iść	πηγαίνω	pigaino	megy	mennä	去	가다	行く	đi	去	heoi3	去	khi3	ذهب	dhahaba	जाना	jaana	téigh	tay	mynd	явах	gitmek	بارماق	barmaq	ไป	pāi 	nenda	pergi	déyá	day-yah
stop	stoppen	stanna	stoppen	arrêter	parar	parar	fermarsi	остановить	stop	σταματώ	stamato	megáll	pysähtyä	停止	멈추다	止まる	dừng lại	停	ting4	停	thing5	توقف	tawaqqaf	रुकना	rukna	stad	stad	stopio / aros	зогсох	durmak	توختىماق	toxtimaq	หยุด	yùt 	simama	berhenti	niʼjiitʼį́į́h	ni-jee-teen
follow	folgen	följa	volgen	suivre	seguir	seguir	seguire	следовать	śledzić	ακολουθώ	akoloutho	követ	seurata	跟随	따르다	従う	đi theo	跟	gan1	跟	kun1	تبع	tabi'a	पीछे चलना	peechhe chalna	lean	lyan	dilyn	дагах	takip etmek	ئەگەشمەك	egeshmek	ตาม	tāam 	fuata	mengikuti	bikééʼ naashá	bee-kay nah-shah
think	denken	tänka	denken	penser	pensar	pensar	pensare	думать	myśleć	σκέφτομαι	skeftomai	gondolkodik	ajatella	想	생각하다	思う	nghĩ	估	gu2	想	siunn2	فكر	fakkara	सोचना	sochna	smaoinigh	sween-ee	meddwl	бодох	düşünmek	ئويلىماق	oylimaq	คิด	khít 	fikiri	berpikir	nitsékees	ni-tsay-kees
say	sagen	prata / tala	praten	dire	decir	dizer	dire	сказать	mówić	λέω	leo	mond	sanoa	说	말하다	言う	nói	讲	gong2	讲	kong2	قال	qala	कहना	kahna	deir	jer	dweud	хэлэх	söylemek	دېمەك	démek	พูด	phûut 	sema	berkata	haʼní	hah-nee
eat	essen	äta	eten	manger	comer	comer	mangiare	есть	jeść	τρώω	troo	eszik	syödä	吃	먹다	食べる	ăn	食	sik6	食	tsiah8	أكل	akala	खाना	khaana	ith	ih	bwyta	идэх	yemek	يىمەك	yimek	กิน	kīn 	kula	makan	yishą́	yi-shahn
drink	trinken	dricka	drinken	boire	beber	beber	bere	пить	pić	πίνω	pino	iszik	juoda	喝	마시다	飲む	uống	饮	jam2	饮	lim1	شرب	shariba	पीना	peena	ól	o-ul	yfed	уух	içmek	ئىچمەك	ichmek	ดื่ม	dùem 	kunywa	minum	yishdlą́	yi-shdlahn
kill	töten	döda	doden	tuer	matar	matar	uccidere	убивать	zabijać	σκοτώνω	skotono	öl	tappaa	杀	죽이다	杀す	giết	杀	saat3	杀	sat4	قتل	qatala	मारना	maarna	maraigh	mar-ee	lladd	алах	öldürmek	ئۆلتۈرمەك	öltürmek	ฆ่า	khâa 	ua	membunuh	yiyiisxį́	yi-yees-heen
die	sterben	dö	sterven	mourir	morir	morrer	morire	умирать	umierać	πεθαίνω	pethaino	meghal	kuolla	死	죽다	死ぬ	chết	死	sei2	死	si2	مات	mata	मरना	marna	faigh bás	fye bawss	marw	үхэх	ölmek	ئۆلمەك	ölmek	ตาย	tāai 	kufa	mati	daaztsą́	dahz-tsahn
laugh	lachen	skratta	lachen	rire	reír	rir	ridere	смеяться	śmiać się	γελάω	gelao	nevet	nauraa	笑	웃다	笑う	cười	笑	siu3	笑	tshio3	ضحك	dahika	हँसना	hansna	gáire	gaw-ira	chwerthin	инээх	gülmek	كۈلمەك	külmek	หัวเราะ	hǔa-ró 	cheka	tertawa	dloh	dloh
cry	weinen	gråta	huilen	pleurer	llorar	chorar	piangere	плакать	płakać	κλαίω	klaio	sír	itkeä	哭	울다	泣く	khóc	喊	haam3	哭	khau3	بكى	baka	रोना	rona	caoin	kween	crio	уйлах	ağlamak	يىغلىماق	yighlimaq	ร้องไห้	ráng hâi 	lia	menangis	yichą	yi-chahn
buy	kaufen	köpa	kopen	acheter	comprar	comprar	comprare	покупать	kupować	αγοράζω	agorazo	vásárol	ostaa	买	사다	買う	mua	买	maai5	买	bue2	اشترى	ishtara	खरीदना	khareedna	ceannaigh	kyan-ee	prynu	худалдаж авах	satın almak	سېتىۋالماق	sétiwalmaq	ซื้อ	sūue 	nunua	membeli	nayiiłniih	nah-yeel-neeh
sell	verkaufen	sälja	verkopen	vendre	vender	vender	vendere	продавать	sprzedawać	πουλάω	poulao	elad	myydä	卖	팔다	売る	bán	卖	maai6	卖	bue7	باع	ba'a	बेचना	bechna	díol	jee-ul	gwerthu	зарах	satmak	ساتماق	satmaq	ขาย	khǎai 	uza	menjual	nayiiłniih	nah-yeel-neeh
learn	lernen	lära	leren	apprendre	aprender	aprender	imparare	учиться	uczyć się	μαθαίνω	mathaino	tanul	oppia	学习	배우다	学ぶ	học	学	hok6	学	hak8	تعلم	ta'allama	सीखना	seekhna	foghlaim	fow-lim	dysgu	сурах	öğrenmek	ئەگەشمەك	egeshmek	เรียน	rīan 	jifunze	belajar	íhoołʼaah	ee-hool-ah
jump	springen	hoppa	springen	sauter	saltar	pular	saltare	прыгать	skakać	πηδώ	pido	ugrik	hypätä	跳	뛰다	跳ぶ	nhảy	跳	tiu3	跳	thiau3	قفز	qafaza	कूदना	koodna	léim	lyay-im	neidio	үсрэх	zıplamak	سەكرىمەك	sekrimek	กระโดด	krà-dòot 	ruka	melompat	naatʼaʼ	nah-tah
smell	riechen	lukta	ruiken	sentir	oler	cheirar	odorare	нюхать	wąchać	μυρίζω	myrizo	szagol	haistaa	闻	냄새 맡다	嗅ぐ	ngửi	闻	man4	鼻	phinn7	شم	shamma	सूँघना	soonghna	boladh	bull-uh	arogli	үнэрлэх	koklamak	پۇرىماق	purimaq	ดม	dōm 	nusa	mencium (bau)	yishchin	yi-shchin
hear	hören	höra	horen	entendre	oír	ouvir	sentire	слышать	słyszeć	ακούω	akouo	hall	kuulla	听	듣다	聴く	nghe	听	teng1	听	thiann1	سمع	sami'a	सुनना	sunna	clois	klish	clywed	сонсох	duymak	ئاڭلىماق	anglimaq	ได้ยิน	dâai yīn 	sikia	mendengar	yishʼį́	yi-sheen
taste	schmecken	smaka	proeven	goûter	saborear	provar	assaggiare	пробовать	smakować	γεύομαι	gevomai	ízlel	maistaa	尝	맛보다	味わう	nếm	试	si3	试	tshi3	ذاق	dhaqa	चखना	chakhna	blaiseadh	blash-uh	blasu	амтлах	tatmak	تېتىماق	tétimaq	ชิม	chīm 	onja	mencicipi	liikan	lee-kahn
touch	berühren	röra	aanraken	toucher	tocar	tocar	toccare	трогать	dotykać	αγγίζω	aggizo	érint	koskettaa	触摸	만지다	触る	chạm	摸	mo2	摸	bong1	لمس	lamasa	छूना	chhoona	teagmháil	tyag-waw-il	cyffwrdd	хүрэх	dokunmak	تېگىشمەك	tégishmek	สัมผัส	sǎm-phàt 	gusa	menyentuh	nídidiiłnih	nee-di-deel-nih
see	sehen	se	zien	voir	ver	ver	vedere	видеть	widzieć	βλέπω	vlepo	lát	nähdä	看	보다	看る	nhìn	睇	tai2	看	khuann3	رأى	ra'a	देखना	dekhna	feic	feck	gweld	харах	görmek	كۆرمەك	körmek	เห็น	hěn 	ona	melihat	yishʼį́	yi-sheen
kiss	küssen	kyssa	kussen	embrasser	besar	beijar	baciare	целовать	całować	φιλάω	filao	csókol	suudella	亲吻	키스하다	吻する	hôn	锡	sek3	嘴	ain1	قبل	qabbala	चूमना	choomna	póg	pog	cusanu	үнсэх	öpmek	سۆيمەك	söymek	จูบ	chùup 	busu	mencium (bibir)	atsʼą́	a-tsahn
burn	brennen	bränna	branden	brûler	quemar	queimar	bruciare	гореть	palić	καίω	kaio	ég	polttaa	烧	태우다	燃える	đốt	烧	siu1	烧	sio1	حرق	haraqa	जलना	jalna	dódh	doh	llosgi	шатаах	yakmak	كۆيمەك	köymek	เผา	phǎo 	choma	membakar	dídiiłjééʼ	dee-deel-jay
explode	explodieren	explodera	exploderen	exploser	explotar	explodir	esplodere	взрываться	wybuchać	εκρήγνυμαι	ekrignymai	robban	räjähtää	爆炸	폭발하다	爆発する	nổ	爆	baau3	爆炸	pau3-tsa3	انفجر	infajara	फटना	phatna	pléasc	play-ask	ffrwydro	дэлбэрэх	patlamak	پارتلىماق	partlimaq	ระเบิด	rá-bòet 	lipuka	meledak	diltłiʼ	dil-tli
sit	sitzen	sitta	zitten	s'asseoir	sentarse	sentar	sedersi	сидеть	siedzieć	κάθομαι	kathomai	ül	istua	坐	앉다	座る	ngồi	坐	co5	坐	tse7	جلس	jalasa	बैठना	baithna	suigh	see	eistedd	суух	oturmak	ئولتۇرماق	olturmaq	นั่ง	nâng 	keti	duduk	sédá	say-dah
stand	stehen	stå	staan	se tenir debout	estar de pie	ficar de pé	stare in piedi	стоять	stać	στέκομαι	stekomai	áll	seistä	站立	서다	立つ	đứng	企	kei5	企	khia7	وقف	waqafa	खड़ा होना	khada hona	seas	shass	sefyll	зогсох	ayakta durmak	تۇرماق	turmaq	ยืน	yūen 	simama	berdiri	sézį́	say-zeen
love	lieben	älska	houden van	aimer	amar	amar	amare	любить	kochać	αγαπώ	agapo	szeret	rakastaa	爱	사랑하다	爱する	yêu	爱	oi3	爱	ai3	أحب	ahabba	प्यार	pyaar	grá	graw	caru	хайрлах	sevmek	سۆيمەك	söymek	รัก	rák 	penda	mencintai	ayóóʼánįįshní	ah-yoh-ah-neesh-nee
dance	tanzen	dansa	dansen	danser	bailar	dançar	ballare	танцевать	tańczyć	χορεύω	chorevo	táncol	tanssia	跳舞	춤추다	踊る	nhảy	跳舞	tiu3 mou5	跳舞	thiau3-bu2	رقص	raqasa	नाचना	naachna	rince	rink-eh	dawnsio	бүжиглэх	dans etmek	ئۇسسۇل ئوينىماق	ussul oynimaq	เต้น	tên 	cheza dansi	menari	ashlzhish	ash-lzhish
sleep	schlafen	sova	slapen	dormir	dormir	dormir	dormire	спать	spać	κοιμάμαι	koimamai	alszik	nukkua	睡觉	자다	眠る	ngủ	瞓觉	fan3 gaau3	困	khun3	نام	nama	सोना	sona	codail	kodd-il	cysgu	унтах	uyumak	ئۇخلىماق	uxlimaq	นอน	nâwn 	lala	tidur	ałhosh	alth-hosh
sing	singen	sjunga	zingen	chanter	cantar	cantar	cantare	петь	śpiewać	τραγουδώ	tragoudo	énekel	laulaa	唱歌	노래하다	歌う	hát	唱歌	ceong3 go1	唱歌	tshiunn3-kua1	غنى	ghanna	गाना	gaana	amhráin	ow-rawn	canu	дуулах	şarkı söylemek	ناخشا ئېيتماق	naxsha éytmaq	ร้องเพลง	ráng phlēng 	imba	menyanyi	hatááł	ha-tahl
win	gewinnen	vinna	winnen	gagner	ganar	ganhar	vincere	выигрывать	wygrywać	νικώ	niko	nyer	voittaa	赢	이기다	胜つ	thắng	赢	jeng4	赢	iann5	فاز	faza	जीतना	jeetna	buaigh	boo-ee	ennill	ялах	kazanmak	ئۇتماق	utmaq	ชนะ	chà-ná 	shinda	menang	jidleeh	ji-dleeh
lose	verlieren	förlora	verliezen	perdre	perder	perder	perdere	терять	przegrywać	χάνω	chano	veszít	hävitä	输	지다	负ける	thua	输	syu1	输	su1	خسر	khasira	हारना	haarna	caill	ky-ill	colli	ялагдах	kaybetmek	ئۇتتۇرماق	utturmaq	แพ้	pháe 	poteza	kalah / hilang	yóóʼiidziih	yoh-eed-zeeh
stir	rühren	person	persoon	remuer	revolver	mexer	mescolare	перемешивать	mieszać	ανακατεύω	anakatevo	kever	sekoittaa	搅拌	젓다	かき混ぜる	khuấy	搅	gaau2	搅	kiao2	حرك	harraka	हिलाना	hilaana	corraigh	kur-ee	troi	хутгах	karıştırmak	ئارىلاشتۇرماق	arilashturmaq	คน	khōn 	koroga	mengaduk	náhałtah	nah-hahl-tah
bend	biegen	kurva	bocht	plier	doblar	dobrar	piegare	гнуть	zginać	λυγίζω	lygizo	hajlít	taivuttaa	弯曲	굽히다	曲げる	uốn	弯	waan1	弯	uan1	ثنى	thana	झुकना	jhukna	lúb	loob	plygu	бөхийх	bükmek	ئەگمەك	egmek	โค้ง	khóong 	kunja	membengkokkan	náztą́	nahz-tahn
wash	waschen	tvätta	wassen	laver	lavar	lavar	lavare	мыть	myć	πλένω	pleno	mos	pestä	洗	씻다	洗う	rửa	洗	sai2	洗	se2	غسل	ghasala	धोना	dhona	nigh	nee	golchi	угаах	yıkamak	يۇيماق	yuymaq	ล้าง	láang 	osha	mencuci	tánasgiz	tah-nahs-giz
cook	kochen	laga mat	koken	cuisiner	cocinar	cozinhar	cucinare	готовить	gotować	μαγειρεύω	mageirevo	főz	kokata	烹饪	요리하다	料理する	nấu	煮	zeoi2	煮	tsu2	طبخ	tabakha	पकाना	pakaana	cócaráil	ko-kur-aw-il	coginio	хоол хийх	pişirmek	تاماق ئەتمەك	tamaq etmek	ทำอาหาร	thām āa-hǎan 	pika	memasak	chʼiyáán ííłʼį́	ch-yah-ahn eel-een
open	öffnen	öppna	openen	ouvrir	abrir	abrir	aprire	открывать	otwierać	ανοίγω	anoigo	nyit	avata	打开	열다	开ける	mở	开	hoi1	开	khui1	فتح	fataha	खोलना	kholna	oscail	uss-kil	agor	нээх	açmak	ئاچماق	achmaq	เปิด	pòet 	fungua	membuka	ąąʼ áshłééh	ah-ah-shlay
close	schließen	stänga	sluiten	fermer	cerrar	fechar	chiudere	закрывать	zamykać	κλείνω	kleino	zár	sulkea	关闭	닫다	闭める	đóng	埋	maai4	关	kuann1	أغلق	aghlaqa	बंद करना	band karna	dún	doon	cau	хаах	kapatmak	ياپماق	yapmaq	ปิด	pìt 	funga	menutup	dadiʼdił	dah-di-dilth
write	schreiben	skriva	schrijven	écrire	escribir	escrever	scrivere	писать	pisać	γράφω	grafo	ír	kirjoittaa	写	쓰다	书く	viết	写	se2	写	sia2	كتب	kataba	लिखना	likhna	scríobh	shkree-uv	ysgrifennu	бичих	yazmak	يازماق	yazmaq	เขียน	khǐan 	andika	menulis	akʼeʼelchí	ah-kay-el-chee
catch	fangen	fånga / hålla	vangen	attraper	atrapar	pegar	catturare	ловить	łapać	πιάνω	piano	elkap	ottaa kiinni	捉	잡다	捕まえる	bắt	捉	zuk1	提	theh8	أمسك	amsaka	पकड़ना	pakadna	beir	ber	dal	барих	yakalamak	تۇتماق	tutmaq	จับ	chàp 	kamata	menangkap	yishloh	yi-shloh
throw	werfen	kasta	gooien	jeter	lanzar	jogar	lanciare	бросать	rzucać	ρίχνω	richno	dob	heittää	扔	던지다	投げる	ném	掉	diu6	掞	hiat8	رمى	rama	फेंकना	phenkna	caith	kah	taflu	шидэх	atmak	ئاتماق	atmaq	ขว้าง	khwâang 	tupa	melempar	ahizhdiiłtłʼíid	ah-hizh-deel-t-leed
search	suchen	hitta	zoeken	chercher	buscar	procurar	cercare	искать	szukać	ψάχνω	psachno	keres	etsiä	搜寻	찾다	探す	tìm kiếm	揾	wan2	揣	tshe7	بحث	bahatha	खोजना	khojna	cuardaigh	koor-dee	chwilio	хайх	aramak	ئىزدەمەك	izdemek	หา	hǎa 	tafuta	mencari	haniʼ	ha-nee
push	drücken	knuffa	duwen	pousser	empujar	empurrar	spingere	толкать	pchać	σπρώχνω	sprochno	tol	työntää	推	밀다	押す	đẩy	推	teoi1	推	the1	دفع	dafa'a	ढकेलना	dhakelna	brúigh	broo-ee	gwthio	түлхэх	itmek	ئىتتەرمەك	ittermek	ผลัก	phlàk 	sukuma	mendorong	adasiiłtłʼid	ah-dah-seel-t-lid
pull	ziehen	dra	trekken	tirer	tirar	puxar	tirare	тянуть	ciągnąć	τραβώ	travo	húz	vetää	拉	끌다	引く	kéo	掹	mang1	拖	thua1	سحب	sahaba	खींचना	kheenchna	tarraing	tar-ing	tynnu	татах	çekmek	تارتماق	tartmaq	ดึง	dūeng 	vuta	menarik	yididloh	yi-di-dloh
city	Stadt	stad	stad	ville	ciudad	cidade	città	город	miasto	πόλη	póli	város	kaupunki	城市	도시	都市	thành phố	城市	sing4 si5	城市	tshiann5-tshi7	مدينة	madina	शहर	shahar	cathair	ka-hir	dinas	хот	şehir	شەھەر	sheher	เมือง	mūeang 	mji	kota	kin haalʼá	keen hahl-ah
house	Haus	hus / hem	huis	maison	casa	casa	casa	дом	dom	σπίτι	spíti	ház	talo	房子	집	家	nhà	屋	ok1	厝	tshu3	بيت	bayt	घर	ghar	teach	tyakh	tŷ	байшин	ev	ئۆي	öy	บ้าน	bâan 	nyumba	rumah	hooghan	hoo-ghan
apartment	Wohnung	lägenhet	appartement	appartement	apartamento	apartamento	appartamento	квартира	mieszkanie	διαμέρισμα	diamérisma	lakás	huoneisto	公寓	아파트	アパート	căn hộ	楼	lau4	楼	lau5	شقة	shaqqa	कमरा / फ्लैट	kamra / flat	árasán	aras-awn	fflat	орон сууц	daire	پاتىراك	patiraq	อพาร์ทเม้นท์	à-phâat-mén 	ghorofa	apartemen	kin biiʼ dahdínéezbin	keen bee dah-dee-nayz-bin
street	Straße	väg / gata	straat	rue	calle	rua	strada	улица	ulica	δρόμος	drómos	utca	katu	街道	거리	通り	đường	街	gaai1	街	ke1	شارع	shari'	सड़क	sadak	sráid	sraw-ij	stryd	гудамж	sokak	كوچا	kocha	ถนน	thà-nǒn 	barabara	jalan	atiin	ah-teen
airport	Flughafen	flygplats	vliegveld	aéroport	aeropuerto	aeroporto	aeroporto	аэропорт	lotnisko	αεροδρόμιο	aerodrómio	repülőtér	lentokenttä	机场	공항	空港	sân bay	机场	gei1 coeng4	飞行场	hue1-ling5-tiunn5	مطار	matar	हवाई अड्डा	havaee adda	aerfort	ayr-furt	maes awyr	нисэх онгоцны буудал	havalimanı	ئايرودروم	ayrodrom	สนามบิน	sà-nǎam bīn 	uwanja wa ndege	bandara	chidí naatʼaʼí ńdeitʼihígíí	chi-dee nah-tah-ee day-tih-ee-gee
train station	Bahnhof	tågstation	treinstation	gare	estación	estação	stazione	вокзал	dworzec	σταθμός	stathmós	vasútállomás	rautatieasema	火车站	기차역	駅	ga tàu	火车站	fo2 ce1 zaam6	火车站	hue2-tshia1-tsam7	محطة القطار	mahattat al-qitar	रेलवे स्टेशन	railway station	stáisiún traenach	staw-shoon tray-nakh	gorsaf drenau	галт тэрэгний буудал	tren istasyonu	پويىز ئىستانسىسى	poyiz istansisi	สถานีรถไฟ	sà-thǎa-nīi rót fai 	stesheni ya treni	stasiun kereta	kǫʼ naʼałbąąsii dabiighan	kon nah-ahl-bahn-see dah-bee-ghan
bridge	Brücke	bro	brug	pont	puente	ponte	ponte	мост	most	γέφυρα	géfyra	híd	silta	桥	다리	桥	cầu	桥	kiu4	桥	kio5	جسر	jisr	पुल	pul	droichead	drih-had	pont	гүүр	köprü	كۆۋرۈك	köwrük	สะพาน	sà-phāan 	daraja	jembatan	naʼníʼá	nah-nee-ah
hotel	Hotel	hotell	hotel	hôtel	hotel	hotel	hotel	отель	hotel	ξενοδοχείο	xenodocheío	szálloda	hotelli	酒店	호텔	ホテル	khách sạn	酒店	zau2 dim3	饭店	phan7-tiam7	فندق	funduq	होटल	hotel	óstán	oss-tawn	gwesty	зочид буудал	otel	مېھمانخانا	méhmanxana	โรงแรม	rōng rāem 	hoteli	hotel	hotel	ho-tel
